match,date,team1,team2,phase
1,2022-11-21,Qatar,Ecuador,group matches
2,2022-11-21,Senegal,Netherlands,group matches
3,2022-11-21,England,Iran,group matches
4,2022-11-21,USA,Wales,group matches
5,2022-11-22,France,Australia,group matches
6,2022-11-22,Denmark,Tunisia,group matches
7,2022-11-22,Mexico,Poland,group matches
8,2022-11-22,Argentina,Saudi Arabia,group matches
9,2022-11-23,Belgium,Canada,group matches
10,2022-11-23,Spain,Costa Rica,group matches
11,2022-11-23,Germany,Japan,group matches
12,2022-11-23,Morocco,Croatia,group matches
13,2022-11-24,Switzerland,Cameroon,group matches
14,2022-11-24,Uruguay,South Korea,group matches
15,2022-11-24,Portugal,Ghana,group matches
16,2022-11-24,Brazil,Serbia,group matches
17,2022-11-25,Wales,Iran,group matches
18,2022-11-25,Qatar,Senegal,group matches
19,2022-11-25,Netherlands,Ecuador,group matches
20,2022-11-25,England,USA,group matches
21,2022-11-26,Tunisia,Australia,group matches
22,2022-11-26,Poland,Saudi Arabia,group matches
23,2022-11-26,France,Denmark,group matches
24,2022-11-26,Argentina,Mexico,group matches
25,2022-11-27,Japan,Costa Rica,group matches
26,2022-11-27,Belgium,Morocco,group matches
27,2022-11-27,Croatia,Canada,group matches
28,2022-11-27,Spain,Germany,group matches
29,2022-11-28,Cameroon,Serbia,group matches
30,2022-11-28,South Korea,Ghana,group matches
31,2022-11-28,Brazil,Switzerland,group matches
32,2022-11-28,Portugal,Uruguay,group matches
33,2022-11-29,Wales,England,group matches
34,2022-11-29,Iran,USA,group matches
35,2022-11-29,Ecuador,Senegal,group matches
36,2022-11-29,Netherlands,Qatar,group matches
37,2022-11-30,Australia,Denmark,group matches
38,2022-11-30,Tunisia,France,group matches
39,2022-11-30,Poland,Argentina,group matches
40,2022-11-30,Saudi Arabia,Mexico,group matches
41,2022-12-01,Croatia,Belgium,group matches
42,2022-12-01,Canada,Morocco,group matches
43,2022-12-01,Japan,Spain,group matches
44,2022-12-01,Costa Rica,Germany,group matches
45,2022-12-02,Ghana,Uruguay,group matches
46,2022-12-02,South Korea,Portugal,group matches
47,2022-12-02,Serbia,Switzerland,group matches
48,2022-12-02,Cameroon,Brazil,group matches
49,2022-12-03,1A,2B,round 16
50,2022-12-03,1C,2D,round 16
51,2022-12-04,1B,2A,round 16
52,2022-12-04,1D,2C,round 16
53,2022-12-05,1E,2F,round 16
54,2022-12-05,1G,2H,round 16
55,2022-12-06,1F,2E,round 16
56,2022-12-06,1H,2G,round 16
57,2022-12-09,W49,W50,quarter-finals
58,2022-12-09,W53,W54,quarter-finals
59,2022-12-10,W51,W52,quarter-finals
60,2022-12-10,W55,W56,quarter-finals
61,2022-12-13,W57,W58,semi-finals
62,2022-12-14,W59,W60,semi-finals
63,2022-12-17,L61,L62,third place
64,2022-12-18,W61,W62,final